id,company,developer,game,porting,publisher,supporting
32253,"{'id': 771, 'name': 'Rare'}",True,17478,False,False,False
8042,"{'id': 47, 'name': 'Obsidian Entertainment'}",True,3144,False,False,False
44899,"{'id': 1109, 'name': 'Stunlock Studios'}",True,2352,False,True,False
59240,"{'id': 14142, 'name': 'Chibig'}",True,74531,False,True,False
185672,"{'id': 2678, 'name': 'Data East'}",True,18831,False,False,False
12851,"{'id': 2340, 'name': 'Codemasters Birmingham'}",True,5311,False,False,False
44009,"{'id': 10666, 'name': 'Cornfox & Bros.'}",True,18975,False,True,False
46111,"{'id': 7710, 'name': 'Ascaron'}",True,28234,False,False,False
25254,"{'id': 208, 'name': 'Frontier Developments'}",True,2953,False,False,False
44781,"{'id': 1217, 'name': 'Spike Chunsoft'}",True,27547,False,True,False
23512,"{'id': 394, 'name': 'Nadeo'}",True,9908,False,False,False
70983,"{'id': 11876, 'name': 'RYM GAMES'}",True,26658,False,True,False
53832,"{'id': 263, 'name': 'Namco'}",True,15535,False,True,False
31544,"{'id': 852, 'name': 'PlatinumGames'}",True,16989,False,False,False
43489,"{'id': 401, 'name': 'Naughty Dog'}",True,20113,False,False,False
22548,"{'id': 1704, 'name': 'Cyberdreams'}",True,9260,False,False,False
23821,"{'id': 696, 'name': 'HB Studios'}",True,10619,False,False,False
3905,"{'id': 400, 'name': 'SCE Japan Studio'}",True,1461,False,False,False
17569,"{'id': 277, 'name': 'EA Canada'}",True,7433,False,False,False
45228,"{'id': 181, 'name': 'Blue Fang Games'}",True,23769,False,False,False
24049,"{'id': 1017, 'name': 'The Neverhood, Inc.'}",True,10917,False,False,False
21528,"{'id': 2248, 'name': 'Daedalic Entertainment'}",True,5522,False,True,False
10953,"{'id': 2055, 'name': 'Clover Studio'}",True,4230,False,False,False
21901,"{'id': 1031, 'name': 'Core Design'}",True,8941,False,False,False
17137,"{'id': 1394, 'name': 'Omega Force'}",True,7242,False,False,False
24195,"{'id': 5884, 'name': 'Tetraedge Games'}",True,9092,False,False,False
36491,"{'id': 739, 'name': 'Grezzo'}",True,19596,False,False,False
15108,"{'id': 1613, 'name': 'Incognito Entertainment'}",True,6340,False,False,False
25058,"{'id': 6092, 'name': '5 Lives Studios'}",True,11577,False,True,False
3738,"{'id': 895, 'name': 'Heavy Iron Studios'}",True,1834,False,False,False
10198,"{'id': 680, 'name': 'Pipeworks Software'}",True,3935,False,False,False
22840,"{'id': 5099, 'name': 'Koboldgames'}",True,9000,False,False,False
13986,"{'id': 1991, 'name': 'Unique Development Studios'}",True,5822,False,False,False
46164,"{'id': 12549, 'name': 'Exozet'}",True,28278,False,False,False
15715,"{'id': 888, 'name': 'Digital Eclipse'}",True,1587,False,False,False
13338,"{'id': 489, 'name': 'Mindscape'}",True,5507,False,True,False
18312,"{'id': 129, 'name': 'Konami'}",True,7848,False,False,False
15362,"{'id': 263, 'name': 'Namco'}",True,6455,False,True,False
32573,"{'id': 8939, 'name': 'Fatpuppy Softworks'}",True,17683,False,False,False
14179,"{'id': 2586, 'name': 'Brainbox Games'}",True,5900,False,False,False
31948,"{'id': 3085, 'name': 'Xaviant'}",True,7443,False,True,False
2895,"{'id': 826, 'name': 'Namco Tales Studio'}",True,1211,False,False,False
23394,"{'id': 5293, 'name': 'Pwnee Studios'}",True,9864,False,False,False
5152,"{'id': 250, 'name': 'Square'}",True,423,False,False,False
33297,"{'id': 405, 'name': 'Spiders'}",True,10295,False,False,False
21510,"{'id': 37, 'name': 'Capcom'}",True,1787,False,True,False
42945,"{'id': 366, 'name': 'Epyx'}",True,12831,False,True,False
46557,"{'id': 12666, 'name': 'Zitrix Megalomedia'}",True,28465,False,True,False
65696,"{'id': 899, 'name': 'Ubisoft Milan'}",True,103317,False,False,False
37624,"{'id': 5527, 'name': 'Rainbow Train'}",True,20472,False,True,False
25086,"{'id': 1119, 'name': 'Monolith Soft'}",True,9721,False,False,False
14267,"{'id': 1911, 'name': 'Climax Brighton'}",True,5933,False,False,False
35208,"{'id': 1192, 'name': 'Vic Tokai'}",True,19118,False,True,False
16876,"{'id': 2822, 'name': 'Graffiti Entertainment'}",True,7140,False,False,False
22880,"{'id': 575, 'name': 'Impressions Games'}",True,9542,False,False,False
16543,"{'id': 402, 'name': 'Day 1 Studios'}",True,6996,False,False,False
12182,"{'id': 2246, 'name': 'Her Interactive'}",True,5050,False,True,False
71561,"{'id': 16916, 'name': 'StikiPixels'}",True,105594,False,True,False
9757,"{'id': 709, 'name': 'Teyon'}",True,3771,False,False,False
45068,"{'id': 7466, 'name': 'Paradox Development Studio'}",True,2922,False,False,False
69546,"{'id': 1330, 'name': 'Bits Studios'}",True,46123,False,False,False
2681,"{'id': 781, 'name': 'M2'}",True,1146,False,False,False
7122,"{'id': 32, 'name': 'Sierra On-Line'}",True,1926,False,True,False
10741,"{'id': 2030, 'name': 'Metro Graphics'}",True,4138,False,False,False
32229,"{'id': 321, 'name': 'Tose'}",True,17460,False,False,False
9200,"{'id': 665, 'name': 'Williams Entertainment'}",True,3550,False,False,False
3074,"{'id': 407, 'name': 'Monolith Productions'}",True,1336,False,False,False
33391,"{'id': 8706, 'name': 'rdein'}",True,18163,False,True,False
17655,"{'id': 837, 'name': 'LEVEL-5'}",True,7482,False,False,False
18065,"{'id': 3593, 'name': 'Mu and Heyo'}",True,7730,False,False,False
2707,"{'id': 785, 'name': 'Studio 33'}",True,1169,False,False,False
6682,"{'id': 1278, 'name': 'Paradigm Entertainment'}",True,2783,False,False,False
26283,"{'id': 6429, 'name': 'TYPE-MOON'}",True,12381,False,False,False
70224,"{'id': 16434, 'name': 'Cracked Heads'}",True,109550,False,False,False
11226,"{'id': 1926, 'name': 'FUN Labs'}",True,4675,False,False,False
22234,"{'id': 624, 'name': 'Third Law Interactive'}",True,9096,False,False,False
9709,"{'id': 1893, 'name': 'PopCap Games'}",True,3758,False,True,False
9833,"{'id': 1817, 'name': 'Z-Axis'}",True,3783,False,False,False
11679,"{'id': 1244, 'name': '7 Studios'}",True,4853,False,False,False
